id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9487865,ROOM NEAR LEBLON'S BEACH,1159004,Dulce,,Leblon,-22.98118,-43.22379,Private room,300,4,6,2020-02-29,0.08,2,171,0,
9489489,Apt Copacabana de frente para a praia 302,30669035,Aldomir,,Leme,-22.96392,-43.17114,Entire home/apt,220,4,3,2016-08-16,0.05,8,0,0,
9489855,Apt  Copacabana perto da praia 613,30669035,Aldomir,,Copacabana,-22.97107,-43.18706,Entire home/apt,195,3,6,2019-10-08,0.09,8,0,0,
9493577,Rio Experience | 3 min from Beach | Great location,49194316,Cristian,,Copacabana,-22.9772,-43.18984,Entire home/apt,843,3,93,2021-12-12,3.53,4,63,48,
9493666,LINDO APARTAMENTO EM COPACABANA,45326592,Beto,,Copacabana,-22.96809,-43.18488,Entire home/apt,387,1,97,2021-12-15,1.31,1,147,9,
9494941,Spacious Flat in Copacabana - Room and living room,49212378,Beatriz,,Copacabana,-22.9724,-43.18868,Entire home/apt,411,4,16,2021-11-02,0.22,1,335,7,
9502060,Tranquilo apto ao lado do agito,5999840,Susane,,Santa Teresa,-22.91602,-43.17976,Entire home/apt,320,4,3,2021-12-11,0.05,1,342,2,
9508710,"Room in Leblon, 100m from the beach",19535828,Pierre-Camille,,Leblon,-22.98589,-43.22195,Private room,464,3,21,2021-12-23,0.29,1,354,1,
9513618,Temporada em Copacabana a uma quadra da praia,49295485,Nelma,,Copacabana,-22.96463,-43.17488,Entire home/apt,200,2,3,2021-02-18,0.04,1,230,1,
9514098,COPACABANA  APARTAMENTO TODO TOP  SEJAM BEM VINDOS,49176612,Irene,,Copacabana,-22.96847,-43.18552,Entire home/apt,384,6,88,2021-12-04,1.21,5,35,9,
9526675,Paraíso Leblon,49353973,Maria De Lourdes,,Leblon,-22.98024,-43.22037,Private room,600,1,0,,,1,365,0,
9528961,2 Bedroom Apartment in Copacabana CaviRio RP602,1381764,CaviRio,,Copacabana,-22.966,-43.18306,Entire home/apt,1050,2,15,2021-02-12,0.21,20,241,1,
9541029,Cozy Aparthotel Ipanema/Copacabana,47582862,Daciano,,Ipanema,-22.98601,-43.19575,Entire home/apt,488,3,1,2015-12-28,0.01,1,0,0,
9542855,Copacabana perto da praia!,38285826,Renata,,Copacabana,-22.96353,-43.17983,Entire home/apt,129,6,28,2021-12-04,0.38,1,237,5,
9544896,COPACABANA  QUARTO/SALA B PEIXOTO,532498,Luis,,Copacabana,-22.96612,-43.1904,Entire home/apt,177,3,3,2016-08-18,0.04,47,352,0,
9545802,Just a Peaceful and Stunning View,49434870,Pedro,,Lagoa,-22.97196,-43.20815,Entire home/apt,3973,5,0,,,1,363,0,
9547064,Resort Apartment,35736261,Vitória Régia,,Jacarepaguá,-22.96897,-43.39343,Entire home/apt,752,5,3,2020-01-02,0.05,1,318,0,
9549419,Beautiful Duplex Penthouse in Barra da Tijuca(Rio2,49451639,Bárbara,,Jacarepaguá,-22.96981,-43.38299,Entire home/apt,660,3,10,2017-05-14,0.14,1,220,0,
9555504,"2 br copacabana apt, beach 150 mtrs",29879937,George,,Copacabana,-22.96629,-43.17618,Entire home/apt,312,7,3,2019-12-22,0.05,1,346,0,
9559193,Bright and practical flat in cool Gávea,5575105,Thais,,Gávea,-22.97851,-43.22763,Entire home/apt,196,26,4,2021-09-13,0.06,2,122,1,
9562306,"Cozy Apartment in Leblon, RJ",3499357,Muiza,,Leblon,-22.98322,-43.22359,Entire home/apt,380,4,14,2020-02-26,0.19,1,146,0,
9563814,QUARTO PRÓXIMO AO METRO,15944690,Marise,,Inhaúma,-22.87239,-43.27556,Private room,250,1,0,,,1,365,0,
9567627,Quarto em Copacabana - Zona Sul RJ,4391528,Marcelo,,Copacabana,-22.97392,-43.18931,Private room,180,4,2,2019-01-02,0.03,2,364,0,
9571428,IPANEMA TOP,11782291,Lucas,,Ipanema,-22.98274,-43.20153,Entire home/apt,2086,1,1,2020-02-24,0.04,14,365,0,
9572933,Loft na Glória,49555501,Pedro,,Santa Teresa,-22.91909,-43.17784,Entire home/apt,279,6,2,2019-03-07,0.03,3,17,0,
9574917,Apartamento aconchegante RJ,33248921,Bruno,,Vila Valqueire,-22.88241,-43.36559,Private room,100,1,0,,,1,0,0,
9575947,Cinco Quartos Beira Mar Vista Mar Ipanema e Copa,46082356,Patrícia,,Ipanema,-22.98744,-43.19695,Entire home/apt,1950,6,92,2021-11-29,1.41,5,101,19,
9583474,"Lindo apto Leblon, 5 min da praia",16828885,Carla,,Leblon,-22.9829,-43.22235,Entire home/apt,1314,3,173,2021-12-19,2.38,1,120,22,
9583826,Aptm on top Copacabana (Morro Babilonia),49609669,Heinz,,Copacabana,-22.96149,-43.17251,Entire home/apt,136,2,62,2021-12-05,0.85,2,341,7,
9590078,Quarto e sala a 100m da praia,49637543,Erika,,Barra da Tijuca,-23.01231,-43.31703,Entire home/apt,310,4,21,2021-10-14,0.29,1,328,3,
9591138,Steps away from Copacabana beach,31077415,Nicole,,Copacabana,-22.96924,-43.18618,Entire home/apt,514,5,12,2017-02-13,0.17,1,6,0,
9592806,Boat charter/Rio de Janeiro,32429803,Milton,,Barra da Tijuca,-23.00284,-43.3221,Entire home/apt,7500,1,1,2020-01-13,0.04,7,365,0,
9593911,Cozy matress on floor for rest in Rio,24797835,Augusto,,Santa Teresa,-22.92188,-43.18281,Shared room,99,3,7,2019-10-06,0.10,2,171,0,
9594019,Maravilha Botafogo - Perto de Tudo.,49655793,Ana,,Botafogo,-22.94977,-43.1823,Entire home/apt,250,3,0,,,1,147,0,
9594137,Cozy room close to the beach,49656132,Madalena,,Copacabana,-22.97097,-43.18735,Private room,60,2,111,2021-12-19,1.51,1,281,14,
9595322,"Flat 1 suíte, Copacabana, Réveillon",49661699,Mari,,Copacabana,-22.9605,-43.17479,Entire home/apt,560,2,0,,,5,322,0,
9595448,"Apartamento  2 suítes, Carnaval, Copacabana, RJ",49661699,Mari,,Flamengo,-22.927,-43.17124,Entire home/apt,500,2,0,,,5,183,0,
9595491,Vista para praia,47368951,Sonia Maria,,Barra da Tijuca,-23.00975,-43.3607,Entire home/apt,243,3,109,2021-12-24,1.49,1,32,21,
9602983,Quarto para casal próximo ao Maracanã e muito mais,33658558,Lucas,,Vila Isabel,-22.91301,-43.24591,Private room,643,2,1,2017-06-19,0.02,1,88,0,
9603176,Apartment in  Ipanema,11510314,Melanie,,Ipanema,-22.98642,-43.20007,Entire home/apt,750,2,19,2020-02-26,0.26,3,325,0,
9607807,Independent Suite,15544036,Laurinete,,Copacabana,-22.97198,-43.19039,Private room,60,1,72,2020-11-30,1.01,2,1,0,
9609733,O charme do Jardim Botânico,49722180,Sandra Amoyr,,Lagoa,-22.96167,-43.20391,Entire home/apt,423,2,54,2021-12-12,0.76,1,318,26,
9612065,Apartamento Confortável Recreio,49732510,Michele,,Recreio dos Bandeirantes,-23.0186,-43.46846,Entire home/apt,1490,1,0,,,1,363,0,
9613800,Great apartment in Copacabana,47504193,Raniero,,Copacabana,-22.96181,-43.17441,Entire home/apt,363,2,145,2021-12-12,2.00,2,293,19,
9625523,"Leblon, 400 meters from the beach",49787543,Robson E Cynthia,,Leblon,-22.98331,-43.21699,Entire home/apt,650,2,146,2021-12-19,1.97,1,90,15,
9628698,Terraço charmoso no Recreio para Casal,29464691,Emma,,Recreio dos Bandeirantes,-23.02105,-43.468,Private room,200,3,2,2021-01-03,0.08,2,0,1,
9628877,APTO AO LADO DA VILA OLIMPICA,49801466,Julio Sandro Tavares,,Jacarepaguá,-22.97108,-43.41457,Entire home/apt,1600,1,0,,,1,365,0,
9642367,Ipanema Quiet and Confortable,49860452,Claudia,,Ipanema,-22.98231,-43.20116,Entire home/apt,800,6,100,2020-03-14,1.37,2,234,0,
